,District,Crop,Price Date,Crop Price (Rs per quintal)
0,Ariyalur,Banana,Jan-2015,1830
1,Ariyalur,Banana,Jan-2015,1820
2,Ariyalur,Banana,Feb-2015,1730
3,Ariyalur,Banana,Mar-2015,1780
4,Ariyalur,Banana,Apr-2015,1900
5,Ariyalur,Banana,May-2015,1850
6,Ariyalur,Banana,Jun-2015,1845
7,Ariyalur,Banana,Jun-2015,1875
8,Ariyalur,Banana,Jul-2015,1850
9,Ariyalur,Banana,Aug-2015,1890
10,Ariyalur,Banana,Sep-2015,1710
11,Ariyalur,Banana,Oct-2015,1750
12,Ariyalur,Banana,Oct-2015,1715
13,Ariyalur,Banana,Nov-2015,1725
14,Ariyalur,Banana,Dec-2015,1730
15,Ariyalur,Banana,Jan-2016,1810
16,Ariyalur,Banana,Feb-2016,1765
17,Ariyalur,Banana,Mar-2016,1835
18,Ariyalur,Banana,Mar-2016,1830
19,Ariyalur,Banana,Apr-2016,1870
20,Ariyalur,Banana,May-2016,1840
21,Ariyalur,Banana,Jun-2016,1800
22,Ariyalur,Banana,Jul-2016,1730
23,Ariyalur,Banana,Aug-2016,1830
24,Ariyalur,Banana,Sep-2016,1765
25,Ariyalur,Banana,Oct-2016,1820
26,Ariyalur,Banana,Oct-2016,1835
27,Ariyalur,Banana,Nov-2016,1805
28,Ariyalur,Banana,Dec-2016,1755
29,Ariyalur,Banana,Jan-2017,1710
30,Ariyalur,Banana,Feb-2017,1860
31,Ariyalur,Banana,Feb-2017,1860
32,Ariyalur,Banana,Mar-2017,1740
33,Ariyalur,Banana,Apr-2017,1765
34,Ariyalur,Banana,May-2017,1870
35,Ariyalur,Banana,Jun-2017,1760
36,Ariyalur,Banana,Jul-2017,1735
37,Ariyalur,Banana,Jul-2017,1830
38,Ariyalur,Banana,Aug-2017,1800
39,Ariyalur,Banana,Sep-2017,1850
40,Ariyalur,Banana,Oct-2017,1810
41,Ariyalur,Banana,Nov-2017,1830
42,Ariyalur,Banana,Nov-2017,1735
43,Ariyalur,Banana,Dec-2017,1845
44,Ariyalur,Banana,Jan-2018,1755
45,Ariyalur,Banana,Feb-2018,1750
46,Ariyalur,Banana,Mar-2018,1900
47,Ariyalur,Banana,Apr-2018,1825
48,Ariyalur,Banana,May-2018,1720
49,Ariyalur,Banana,May-2018,1890
50,Ariyalur,Banana,Jun-2018,1860
51,Ariyalur,Banana,Jul-2018,1840
52,Ariyalur,Banana,Aug-2018,1850
53,Ariyalur,Banana,Sep-2018,1780
54,Ariyalur,Banana,Oct-2018,1755
55,Ariyalur,Banana,Nov-2018,1810
56,Ariyalur,Banana,Dec-2018,1870
57,Ariyalur,Banana,Jan-2019,1770
58,Ariyalur,Banana,Mar-2019,1765
59,Ariyalur,Banana,Apr-2019,1875
60,Ariyalur,Banana,May-2019,1790
61,Ariyalur,Banana,Jun-2019,1725
62,Ariyalur,Banana,Jul-2019,1745
63,Ariyalur,Banana,Sep-2019,1870
64,Ariyalur,Banana,Oct-2019,1770
65,Ariyalur,Banana,Nov-2019,1830
66,Ariyalur,Banana,Dec-2019,1755
67,Ariyalur,Banana,Feb-2020,1900
68,Ariyalur,Banana,Mar-2020,1900
69,Ariyalur,Banana,Apr-2020,1800
70,Ariyalur,Banana,May-2020,1820
71,Ariyalur,Banana,Jun-2020,1805
72,Ariyalur,Banana,Aug-2020,1830
73,Ariyalur,Banana,Sep-2020,1845
